word,definition,frequency
abate,become less in amount or intensity,655.45
aberrant,markedly different from an accepted norm,25639.42
abeyance,temporary cessation or suspension,4862.91
abscond,"run away, often taking something or somebody along",6435.03
abstemious,marked by temperance in indulgence,7558.1
admonish,scold or reprimand; take to task,652.7
adulterate,make impure by adding a foreign or inferior substance,2689.04
aesthetic,characterized by an appreciation of beauty or good taste,1071.78
aggregate,a sum total of many heterogeneous things taken together,825.74
alacrity,liveliness and eagerness,1532
alleviate,"provide physical relief, as from pain",1511.07
amalgamate,bring or combine together or with something else,2430.46
ambiguous,having more than one possible meaning,1082.56
ambivalence,mixed feelings or emotions,16371.24
ameliorate,make better,2819.82
anachronism,locating something at a time when it couldn't have existed,3922.47
analogous,similar or equivalent in some respects,1272.17
anarchy,a state of lawlessness and disorder,634.34
anomalous,deviating from the general or common order or type,3932.91
antipathy,a feeling of intense dislike,1698.93
apathy,an absence of emotion or enthusiasm,1190.78
appease,make peace with,862.03
apprise,inform somebody of something,2120.3
approbation,official acceptance or agreement,715.29
appropriate,"suitable for a particular person, place, or situation",160.02
arduous,characterized by effort to the point of exhaustion,1245.79
artless,simple and natural; without cunning or deceit,2113.85
ascetic,someone who practices self denial as a spiritual discipline,1113.62
assiduous,marked by care and persistent effort,1132.58
assuage,"provide physical relief, as from pain",2941.13
attenuate,"become weaker, in strength, value, or magnitude",3390.54
audacious,disposed to venture or take risks,1243.31
austere,of a stern or strict bearing or demeanor,583.49
aver,declare or affirm solemnly and formally as true,1832.6
banal,repeated too often; overfamiliar through overuse,4510.47
belie,be in contradiction with,2163.33
beneficent,doing or producing good,946.85
bolster,support and strengthen,1343.19
bombastic,ostentatiously lofty in style,9023.37
boorish,ill-mannered and coarse in behavior or appearance,8516.35
burgeon,grow and flourish,5041.22
burnish,polish and make shiny,2239.93
buttress,a support usually of stone or brick,1929.42
cacophonous,having an unpleasant sound,49248.13
capricious,determined by chance or impulse rather than by necessity,1316.6
castigation,verbal punishment,15410.79
catalyst,substance that initiates or accelerates a chemical reaction,6417.56
